(22/08/2025 05:16:39) | Attempting to connect to named pipe discord-ipc-0
(22/08/2025 05:16:39) | Connected!
(22/08/2025 05:16:39) | STDIN_HANDLER: Thread started.
(22/08/2025 05:16:39) | STDIN_HANDLER: Sending Write command with 40 bytes.
(22/08/2025 05:16:39) | STDIN_HANDLER: Sending Read command.
(22/08/2025 05:16:39) | FILEREADER: Writing to pipe...
(22/08/2025 05:16:39) | FILEREADER: Reading from pipe...
(22/08/2025 05:16:39) | STDIN_HANDLER: Received 387 byte response. Writing to stdout.
(22/08/2025 05:16:41) | STDIN_HANDLER: Sending Write command with 423 bytes.
(22/08/2025 05:16:41) | STDIN_HANDLER: Sending Read command.
(22/08/2025 05:16:41) | FILEREADER: Writing to pipe...
(22/08/2025 05:16:41) | FILEREADER: Reading from pipe...
(22/08/2025 05:16:41) | STDIN_HANDLER: Received 625 byte response. Writing to stdout.
